category,dataset,method,run_name,rank,seed,precision,recall,mAP50,mAP50_95,best_epoch,epochs_completed,trainable_params,total_params,trainable_pct,adapter_params,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,inference_fps,amp,optimizer,lr0,lora_lr_mult,stability,nan_inf_recovery,artifacts_complete,exit_code,git_commit,formal_material,pareto_front,precision_std,recall_std,mAP50_std,mAP50_95_std,best_single_mAP50,best_single_mAP50_95
rank,Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed0,4,0,0.39918,0.06107,0.11416,0.06395,8,23,409174,2726562,15.007,64000,7.46,325.142,3.0,333.3333333333333,False,AdamW,0.0008,0.1,stable,False,True,0,45566ba0eab349872c37c53a63a72bb062ea9015,True,False,,,,,,
rank,Brain Tumor,Stable LoRA,brain_tumor_r8_stable_v1_seed0,8,0,0.43074,0.06191,0.11313,0.0618,4,19,473174,2790562,16.956,128000,7.58,271.533,6.3,158.73015873015873,False,AdamW,0.0008,0.1,stable,False,True,0,643b0a0368e0b662dbf330db411f6072b5eb6db3,True,True,,,,,,
rank,Brain Tumor,Stable LoRA,brain_tumor_r16_stable_v1_seed0,16,0,0.01114,0.26982,0.09309,0.04821,18,33,601174,2918562,20.598,256000,7.58,454.139,2.5,400.0,False,AdamW,0.0008,0.1,stable,False,True,0,811da67132aaa97d5ceff8c538360751efb14ba5,True,False,,,,,,
rank,VisDrone,Stable LoRA,visdrone_r4_stable_v2_seed0,4,0,0.09139,0.09525,0.05444,0.02878,2,17,410734,2728122,15.056,64000,23.0,1502.15,13.7,72.99270072992701,False,AdamW,0.001,0.1,stable,False,True,0,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,True,True,,,,,,
rank,VisDrone,Stable LoRA,visdrone_r8_stable_v2_seed0,8,0,0.09106,0.09204,0.05286,0.02811,2,17,474734,2792122,17.003,128000,23.0,1563.67,5.0,200.0,False,AdamW,0.001,0.1,stable,False,True,0,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,True,False,,,,,,
rank,VisDrone,Stable LoRA,visdrone_r16_stable_v2_seed0,16,0,0.0909,0.0934,0.05361,0.02862,2,17,602734,2920122,20.641,256000,23.0,1755.5,4.1,243.90243902439028,False,AdamW,0.001,0.1,stable,False,True,0,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,True,False,,,,,,
seed,Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed1,4,1,0.3827,0.045,0.08775,0.05086,4,19,409174,2726562,15.007,64000,7.46,263.41,3.3,303.03030303030306,False,AdamW,0.0008,0.1,stable,False,True,0,a959f24444d953eb6fb4e14c3a8492a5b23d41b3,True,False,,,,,,
seed,VisDrone,Stable LoRA,visdrone_r4_stable_v2_seed1,4,1,0.20071,0.09847,0.05774,0.02962,2,17,410734,2728122,15.056,64000,23.0,1981.04,4.3,232.55813953488374,False,AdamW,0.001,0.1,stable,False,True,0,a959f24444d953eb6fb4e14c3a8492a5b23d41b3,True,False,,,,,,
baseline,Brain Tumor,Head-only,brain_tumor_head_only_seed0,0,0,0.45906,0.86525,0.51525,0.36997,13,28,347718,2662562,13.05952687674503,0,6.21,306.462,2.0,500.0,False,AdamW,0.0008,0.1,stable,False,True,0,aef21ec0ab02ca3a4c0d3c46fcb9c09e2ad8b865,True,True,,,,,,
baseline,Brain Tumor,Full fine-tune,brain_tumor_full_finetune_seed0,0,0,0.4426,0.83539,0.51586,0.37121,32,40,2662546,2662562,99.99939907502623,0,9.44,537.624,2.3,434.7826086956522,False,AdamW,0.0008,0.1,stable,False,True,0,aef21ec0ab02ca3a4c0d3c46fcb9c09e2ad8b865,True,True,,,,,,
baseline,VisDrone,Head-only,visdrone_head_only_seed0,0,0,0.23925,0.15415,0.09974,0.04994,6,6,349278,2664122,13.110435633202984,0,23.0,407.396,0.0,0.0,False,AdamW,0.001,0.1,unstable,True,True,1,aef21ec0ab02ca3a4c0d3c46fcb9c09e2ad8b865,False,False,,,,,,
baseline,VisDrone,Full fine-tune,visdrone_full_finetune_seed0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,incomplete,False,False,,,False,False,,,,,,
ablation,Brain Tumor,AMP on,brain_tumor_r4_amp_probe_e1,4,0,0.00844,0.24731,0.04418,0.02424,1,1,409174,2726562,15.007,64000,5.93,31.4778,3.0,333.3333333333333,True,auto,0.001,1.0,unstable,True,True,,e4b701f097eec648f1174e0f3b6354f6650f14ec,False,False,,,,,,
ablation,Brain Tumor,AMP off,brain_tumor_r4_ampoff_e3,4,0,0.01998,0.30527,0.05718,0.03007,2,3,409174,2726562,15.007,64000,7.46,46.4794,2.8,357.14285714285717,False,auto,0.001,1.0,incomplete,False,True,,7bc0d53757ebad5fd6fc9b4332b32e9ada44030f,False,False,,,,,,
ablation,Brain Tumor,Adapter LR x1.0,brain_tumor_r4_ampoff_lr8e4_e10,4,0,0.24509,0.06546,0.0441,0.02245,2,10,409174,2726562,15.007,64000,7.46,144.373,2.9,344.82758620689657,False,AdamW,0.0008,1.0,incomplete,False,True,,e4b701f097eec648f1174e0f3b6354f6650f14ec,False,False,,,,,,
ablation,Brain Tumor,Adapter LR x0.1,brain_tumor_r4_ampoff_lr8e4_adapt01_e10,4,0,0.30352,0.08437,0.12106,0.0663,8,10,409174,2726562,15.007,64000,7.46,144.319,3.0,333.3333333333333,False,AdamW,0.0008,0.1,incomplete,False,True,,2e2def99644eae7bc5c77a54000545ec4efec857,False,False,,,,,,
aggregate,Brain Tumor,Stable LoRA,brain_tumor_stable_lora_r4_2seed,4,mean,0.39093999999999995,0.053035,0.10095499999999999,0.057405000000000005,8,23,409174,2726562,15.007,64000,7.46,294.276,3.15,333.3333333333333,False,AdamW,0.0008,0.1,stable,False,True,0,45566ba0eab349872c37c53a63a72bb062ea9015,True,False,0.0116531197539543,0.01136320597366782,0.018674690091136724,0.00925602776573191,0.11416,0.06395
aggregate,VisDrone,Stable LoRA,visdrone_stable_lora_r4_2seed,4,mean,0.14605,0.09686,0.05609,0.0292,2,17,410734,2728122,15.056,64000,23.0,1741.595,9.0,72.99270072992701,False,AdamW,0.001,0.1,stable,False,True,0,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,True,False,0.07730091331931338,0.0022768838354206835,0.002333452377915605,0.0005939696961967003,0.05774,0.02962
