dataset,method,run_name,seed,rank,alpha,amp_strategy,head_lr_scale,router_lr_scale,adapter_lr_scale,requested_batch,actual_batch,effective_batch,precision,recall,mAP50,mAP50_95,best_epoch,epochs_completed,trainable_params,trainable_pct,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,exit_code,queue_execution_status,formal_validity_status,failure_reason,recovery_status,config_signature,evidence_path,result_dir,log_path
Brain Tumor,Head-only,phase2_brain_tumor_head_only_seed0,0,0,0,FP32,1.0,0.5,0.1,16,16,64,0.45906,0.86525,0.51525,0.36997,13,28,347718,13.059526876745029,6.21,306.462,2.0,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":25,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Head-only"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_head_only_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_head_only_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_head_only_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_head_only_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_head_only_seed0.log
Brain Tumor,Neck + Head,phase2_brain_tumor_neck_head_seed0,0,0,0,FP32,1.0,0.5,0.1,16,16,64,0.42841,0.8249,0.48627,0.3477,9,24,901574,33.861145768624354,6.47,278.315,1.8,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":13,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_neck_head_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_neck_head_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_neck_head_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_neck_head_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_neck_head_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_neck_head_seed0.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed0,0,0,0,FP32,1.0,0.5,0.1,16,16,64,0.4666,0.77819,0.55688,0.40021,16,31,2114633,79.42098625309006,6.51,385.617,2.4,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":10,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Last stage + Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed0.log
Brain Tumor,Full fine-tuning,phase2_brain_tumor_full_finetune_seed0,0,0,0,FP32,1.0,0.5,0.1,16,16,64,0.4426,0.83539,0.51586,0.37121,32,40,2662546,99.99939907502623,9.44,537.624,2.3,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":null,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_full_finetune_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_full_finetune_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_full_finetune_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_full_finetune_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_full_finetune_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_full_finetune_seed0.log
Brain Tumor,Stable LoRA,phase2_brain_tumor_stable_lora_seed0,0,4,8,FP32,1.0,0.5,0.1,16,16,64,0.39918,0.06107,0.11416,0.06395,8,23,409174,15.007,7.46,325.142,3.0,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":null,""imgsz"":640,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Stable LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0.log
Brain Tumor,Partial fine-tuning + LoRA,phase2_brain_tumor_partial_lora_seed0,0,4,8,FP32,1.0,0.5,0.1,16,16,64,0.45995,0.74795,0.49727,0.35319,19,34,965574,35.41360878644974,7.47,486.725,2.5,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":null,""imgsz"":640,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":[13,14,15,16,17,18,19,20,21,22,23,24],""lr0"":0.0008,""lrf"":0.01,""method"":""Partial fine-tuning + LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_partial_lora_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_partial_lora_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_partial_lora_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_partial_lora_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_partial_lora_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_partial_lora_seed0.log
Brain Tumor,AMP-safe LoRA,phase2_brain_tumor_amp_safe_lora_seed0,0,4,8,AMP-safe implementation,1.0,0.5,0.1,16,16,64,unknown,unknown,unknown,unknown,unknown,0,evidence_missing,evidence_missing,evidence_missing,unknown,unknown,1,failed,implementation_failed,implementation_failed: Conv2d.amp_safe_forward missing; exit_code=1; results.csv missing; best.pt missing; last.pt missing,none,"{""amp"":true,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":null,""imgsz"":640,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""AMP-safe LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_amp_safe_lora_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_amp_safe_lora_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_amp_safe_lora_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_amp_safe_lora_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_amp_safe_lora_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_amp_safe_lora_seed0.log
VisDrone,Head-only,phase2_visdrone_head_only_seed0_b8,0,0,0,FP32,1.0,0.5,0.1,8,8,64,0.23925,0.15415,0.09974,0.04994,6,6,349278,13.110435633202986,23.0,407.396,unknown,1,failed,failed,exit_code=1; OOM observed; OOM at requested batch 8,none,"{""amp"":false,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":25,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Head-only"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log
VisDrone,Head-only,phase2_visdrone_head_only_seed0_b4,0,0,0,FP32,1.0,0.5,0.1,4,not_executed,64,unknown,unknown,unknown,unknown,unknown,0,349278,13.110435633202986,23.0,407.396,unknown,1,skipped_duplicate_reference,not_executed,EXISTING key omitted batch and referenced the same b8 directory; no independent execution evidence,none,not_executed:visdrone:head_only:seed0:requested_batch=4,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log
VisDrone,Head-only,phase2_visdrone_head_only_seed0_b2,0,0,0,FP32,1.0,0.5,0.1,2,not_executed,64,unknown,unknown,unknown,unknown,unknown,0,349278,13.110435633202986,23.0,407.396,unknown,1,skipped_duplicate_reference,not_executed,EXISTING key omitted batch and referenced the same b8 directory; no independent execution evidence,none,not_executed:visdrone:head_only:seed0:requested_batch=2,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log
