dataset,method,run_name,seed,rank,alpha,amp_strategy,head_lr_scale,router_lr_scale,adapter_lr_scale,physical_batch,effective_batch,precision,recall,mAP50,mAP50_95,best_epoch,trainable_params,trainable_pct,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,nan_inf_recovery,artifacts_complete,exit_code,classification,result_dir,log_path
Brain Tumor,AMP-safe LoRA,phase2_brain_tumor_amp_safe_lora_seed0,0,4,8,AMP-safe LoRA FP32 path,1.0,0.5,0.1,16,64,0.0,0.0,0.0,0.0,0,409174,15.007,0.0,0.0,0.0,False,False,1,failure,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_amp_safe_lora_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_amp_safe_lora_seed0.log
Brain Tumor,Adapter LR x0.1,brain_tumor_r4_ampoff_lr8e4_adapt01_e10,0,4,8,FP32,1.0,0.5,0.1,16,64,0.30352,0.08437,0.12106,0.0663,8,409174,15.007,7.46,144.319,3.0,False,True,,diagnostic,/root/autodl-tmp/YOLO-Master/runs/issue50/diagnostics/brain_tumor_r4_ampoff_lr8e4_adapt01_e10,/root/autodl-tmp/YOLO-Master/runs/issue50/diagnostics/logs/brain_tumor_r4_ampoff_lr8e4_adapt01_e10/train.log
Brain Tumor,Adapter LR x1.0,brain_tumor_r4_ampoff_lr8e4_e10,0,4,8,FP32,1.0,0.5,1.0,16,64,0.24509,0.06546,0.0441,0.02245,2,409174,15.007,7.46,144.373,2.9,False,True,,diagnostic,/root/autodl-tmp/YOLO-Master/runs/issue50/diagnostics/brain_tumor_r4_ampoff_lr8e4_e10,/root/autodl-tmp/YOLO-Master/runs/issue50/diagnostics/logs/brain_tumor_r4_ampoff_lr8e4_e10/train.log
Brain Tumor,Diagnostic,brain_tumor_r4_stable_v1_seed0,0,4,8,FP32,1.0,0.5,0.1,16,64,0.39918,0.06107,0.11416,0.06395,8,409174,15.007,7.46,325.142,3.0,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0.log
Brain Tumor,Diagnostic,brain_tumor_r4_stable_v1_seed1,1,4,8,FP32,1.0,0.5,0.1,16,64,0.3827,0.045,0.08775,0.05086,4,409174,15.007,7.46,263.41,3.3,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed1,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed1.log
Brain Tumor,Full fine-tuning,brain_tumor_full_finetune_seed0,0,0,0,FP32,1.0,0.5,0.0,16,64,0.4426,0.83539,0.51586,0.37121,32,0,99.9994,9.44,537.624,2.3,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_full_finetune_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_full_finetune_seed0.log
Brain Tumor,Head-only,brain_tumor_head_only_seed0,0,0,0,FP32,1.0,0.5,0.0,16,64,0.45906,0.86525,0.51525,0.36997,13,0,13.0595,6.21,306.462,2.0,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/brain_tumor_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/brain_tumor_head_only_seed0.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed0,0,0,0,FP32,1.0,0.5,0.0,16,64,0.4666,0.77819,0.55688,0.40021,16,0,0.0,6.51,385.617,2.4,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed0.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed1,1,0,0,FP32,1.0,0.5,0.0,16,64,0.41243,0.77071,0.51024,0.36552,32,0,0.0,6.51,475.534,1.8,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed1,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed1.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed2,2,0,0,FP32,1.0,0.5,0.0,16,64,0.4517,0.81704,0.56568,0.40944,35,0,0.0,6.52,453.146,2.9,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed2,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed2.log
