dataset,method,run_name,seed,mAP50_95,trainable_params,peak_gpu_mem_gib,train_time_s,designation
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed0,0,0.40021,2114633,6.51,385.617,pareto_front
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed1,1,0.36552,2114633,6.51,475.534,dominated
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed2,2,0.40944,2114633,6.52,453.146,absolute_best+pareto_front
Brain Tumor,Neck + Head,phase2_brain_tumor_neck_head_seed0,0,0.3477,901574,6.47,278.315,pareto_front
Brain Tumor,Partial fine-tuning + LoRA,phase2_brain_tumor_partial_lora_seed0,0,0.35319,965574,7.47,486.725,dominated
Brain Tumor,Head-only,brain_tumor_head_only_seed0,0,0.36997,347718,6.21,306.462,parameter_efficient+pareto_front
Brain Tumor,Full fine-tuning,brain_tumor_full_finetune_seed0,0,0.37121,2662546,9.44,537.624,dominated
Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed0,0,0.06395,409174,7.46,325.142,dominated
Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed1,1,0.05086,409174,7.46,263.41,pareto_front
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b4,0,0.15527,2664106,23.0,1912.46,absolute_best+pareto_front
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b4,1,0.15401,2664106,23.0,1886.18,pareto_front
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b4,2,0.15097,2664106,23.0,1892.95,dominated
VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b4,0,0.14988,2116193,22.5,1745.97,pareto_front
VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b4,0,0.14359,903134,22.5,1705.06,parameter_efficient+pareto_front
