dataset,method,rank,amp_strategy,valid_seed_count,precision_mean,precision_std,precision_best,recall_mean,recall_std,recall_best,mAP50_mean,mAP50_std,mAP50_best,mAP50_95_mean,mAP50_95_std,mAP50_95_best
Brain Tumor,Diagnostic,4,FP32,2,0.39093999999999995,0.0116531197539543,0.39918,0.053035,0.01136320597366782,0.06107,0.10095499999999999,0.018674690091136724,0.11416,0.057405000000000005,0.00925602776573191,0.06395
Brain Tumor,Full fine-tuning,0,FP32,1,0.4426,0.0,0.4426,0.83539,0.0,0.83539,0.51586,0.0,0.51586,0.37121,0.0,0.37121
Brain Tumor,Head-only,0,FP32,1,0.45906,0.0,0.45906,0.86525,0.0,0.86525,0.51525,0.0,0.51525,0.36997,0.0,0.36997
Brain Tumor,Last stage + Neck + Head,0,FP32,3,0.4435766666666667,0.027983720862911225,0.4666,0.7886466666666667,0.024872145732391736,0.81704,0.5442666666666667,0.02979463933886987,0.56568,0.39172333333333337,0.02315727171610105,0.40944
Brain Tumor,Neck + Head,0,FP32,1,0.42841,0.0,0.42841,0.8249,0.0,0.8249,0.48627,0.0,0.48627,0.3477,0.0,0.3477
Brain Tumor,Neck + Head + LoRA,4,FP32,1,0.45995,0.0,0.45995,0.74795,0.0,0.74795,0.49727,0.0,0.49727,0.35319,0.0,0.35319
VisDrone,Diagnostic,4,FP32,2,0.14605,0.07730091331931338,0.20071,0.09686,0.0022768838354206835,0.09847,0.05609,0.002333452377915605,0.05774,0.0292,0.0005939696961967003,0.02962
VisDrone,Full fine-tuning,0,FP32,3,0.37979,0.009836361115778536,0.39282,0.29563333333333336,0.005453496737568169,0.30202,0.27558166666666667,0.002876945718408095,0.27866,0.15343833333333332,0.0019304239603430804,0.15527
VisDrone,Last stage + Neck + Head,0,FP32,1,0.37922,0.0,0.37922,0.29369,0.0,0.29369,0.27054,0.0,0.27054,0.14988,0.0,0.14988
VisDrone,Neck + Head,0,FP32,1,0.35764,0.0,0.35764,0.28831,0.0,0.28831,0.25819,0.0,0.25819,0.14359,0.0,0.14359
VisDrone,Neck + Head + LoRA,4,FP32,1,0.28878,0.0,0.28878,0.18068,0.0,0.18068,0.15596,0.0,0.15596,0.08565,0.0,0.08565
